19	1		34.01	부산광역시 동구 수정동 288-5 베스안하우스	부산광역시 동구 고관로 107-6, 1,2층 (수정동, 베스안하우스)	지니프레쉬 수정점	386416.16	182973.9
20	1		46.24	제주특별자치도 제주시 연동 256-16 성우빌	제주특별자치도 제주시 연동4길 28-4, 성우빌 1층 (연동)	커피비원	152291.11	-1309.3015
21	1		97.16	경기도 파주시 동패동 1933-2	경기도 파주시 동패로 71, 1층 (동패동)	칠일커피	176823.95	467462.8
22	1		26.53	경상북도 포항시 남구 해도동 484-13 1층	경상북도 포항시 남구 상공로 241, 1층 (해도동)	퐁,커피포항1호점	413760.3	282926.75
23	1		51.26	경기도 남양주시 별내동 955-1 1층 일부	경기도 남양주시 두물로39번길 9, 1층 일부 (별내동)	리베릭커피	211273.1	461609.1
24	1		46.64	세종특별자치시 집현동 726 지식산업센터	세종특별자치시 집현중앙7로 6, 지식산업센터 1층 A132호 (집현동)	울투라커피컴퍼니 집현점	229603.66	333091.53
25	1	052 232 8687	65.48	울산광역시 동구 서부동 315-31	울산광역시 동구 방어진순환도로 1124-1, 1층 (서부동)	디디디알(D:D:D.r)캔&보틀커피 울산남목점	419959.53	229353.61
26	1		66.0	서울특별시 마포구 상암동 1680 상암근린상가	서울특별시 마포구 월드컵로42길 40, 상암근린상가 1층 108,109,110,111호 (상암동)	근린커피 상암	189392.97	453114.72
27	1		130.98	대구광역시 달서구 대곡동 1130-1	대구광역시 달서구 갈밭남로8길 11-1, 1층 (대곡동)	커피팀버 대곡점	338598.97	256624.2
28	1		42.9	경기도 성남시 분당구 삼평동 681 에이치스퀘어 엔동 1층 108호	경기도 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 1층 108호 (삼평동)	그라츠커피랩(GRAZ COFFEE LAB)	209549.83	433334.94
29	1		29.1	경기도 안산시 상록구 성포동 588-2 주공아파트 종합상가 101호	경기도 안산시 상록구 화랑로 514, 주공아파트 종합상가 101호 (성포동)	커피타기	186179.17	424249.28
30	1		102.01	제주특별자치도 서귀포시 색달동 2508 아리아호텔	제주특별자치도 서귀포시 중문관광로 23-1, 아리아호텔 1층 (색달동)	호텔리어스커피(Hoteliers' Coffee)	145446.36	-26536.23
31	1		39.52	경기도 포천시 소흘읍 초가팔리 338-4 1층	경기도 포천시 소흘읍 검바위길 72, 1층	나니언니커피	212846.48	479704.9
32	1		47.16	서울특별시 중랑구 상봉동 495-4	서울특별시 중랑구 신내로7가길 23, 1층 (상봉동)	커피쥬얼리	208284.94	455563.25
33	1		81.81	경기도 파주시 야당동 84-1 나동 1층	경기도 파주시 하우고개길 251, 나동 1층 (야당동)	커피쇼퍼(COFFEE SHOPPER)	179552.47	468096.78
34	1		28.71	대구광역시 중구 남산동 0757-0013	대구광역시 중구 중앙대로61길 15 (남산동)	모리스커피(morris coffee)	343642.28	263384.66
35	1		195.63	충청북도 청주시 상당구 서문동 67	충청북도 청주시 상당구 사직대로362번길 62, 3층 (서문동)	키만스커피	243521.88	348200.3
36	1		61.0	서울특별시 서초구 양재동 13-14 1층	서울특별시 서초구 남부순환로350길 40, 1층 (양재동)	카페핸드메이드 양재점	203164.28	442323.8
37	1	02  20390645	291.3	서울특별시 송파구 석촌동 255-1	서울특별시 송파구 가락로 78, 1층 102호,103호,104호,107호.108호 (석촌동)	투썸플레이스 송파헬리오시티점	209203.36	444223.03
38	1		48.54	서울특별시 동작구 대방동 379-1	서울특별시 동작구 대방동길 57, 1층 (대방동)	모코커피(moko coffee)	193324.69	444549.44
39	1		42.75	대구광역시 달성군 현풍읍 중리 495-1 1층	대구광역시 달성군 현풍읍 테크노상업로2길 15-9, 1층	커피코모리(COFFEE KOMORI)	331662.06	244586.19
40	1	055 282 1517	25.65	경상남도 창원시 성산구 반림동 10 노블파크아파트 분구상가1동 1층 115-1호	경상남도 창원시 성산구 원이대로 449, 분구상가1동 1층 115-1호 (반림동, 노블파크아파트)	단디커피	351713.84	194292.84
41	1		66.0	서울특별시 중구 남창동 50-48	서울특별시 중구 남대문시장2가길 2, 1층 (남창동)	본커피	197874.81	450789.44
42	1	070 77774720	62.82	부산광역시 해운대구 우동 550-10	부산광역시 해운대구 구남로 8-2, 1~3층 (우동)	더벤티	396658.6	186994.38
43	1		92.07	경기도 평택시 서정동 322-10 2층	경기도 평택시 정암로 12, 2층 (서정동)	향기담은호프커피	204828.83	395018.7
44	1	051 206 1666		부산광역시 강서구 명지동 3237-12 명호빌딩	부산광역시 강서구 명지오션시티4로 94, 명호빌딩 701호 (명지동)	브런치빈 부산명지점	373513.4	177393.4
45	1		66.91	인천광역시 서구 석남동 178-3	인천광역시 서구 염곡로311번길 18-1, 1층일부 (석남동)	데브커피	170438.89	445650.97
46	1		82.0	경기도 화성시 송산면 사강리 660-24	경기도 화성시 송산면 사강시장길43번길 20-1	88커피숍	176521.75	412479.75
47	1		16.5	서울특별시 송파구 문정동 643-1 엠스테이트	서울특별시 송파구 법원로 114, 엠스테이트 제이동 지1층 제이-비144호 (문정동)	커피나인 문정		
48	1		16.0	충청남도 천안시 서북구 쌍용동 1296	충청남도 천안시 서북구 불당대로 273, 1층 102호 (쌍용동)	카페온유	211200.56	366548.9
49	1		137.87	경상남도 하동군 하동읍 화심리 1680	경상남도 하동군 하동읍 섬진강대로 2573	하동커피	265004.5	177120.02
50	1		81.9	전라북도 전주시 완산구 효자동3가 1541-1	전라북도 전주시 완산구 홍산남로 82, 주건축물제1동 1층 104호 (효자동3가)	카페달링전주직영1호점	209948.31	257275.34
51	1		47.0	서울특별시 광진구 화양동 5-20 1층	서울특별시 광진구 능동로13길 9, 1층 (화양동)	파란만잔 건대역점	206219.4	448927.22
52	1		21.0	서울특별시 노원구 공릉동 592-26	서울특별시 노원구 동일로176길 27, 1층 (공릉동)	공덕리커피	206687.02	457553.1
53	1		38.91	서울특별시 송파구 방이동 34-2 현대드림밸리	서울특별시 송파구 오금로11길 11-8, 현대드림밸리 1층 109호 (방이동)	백억커피 방이점	209542.7	445868.53
54	1		78.0	전라북도 전주시 덕진구 인후동2가 1574-19 코웨이	전라북도 전주시 덕진구 백제대로 746, 코웨이 1층 일부호 (인후동2가)	왓커피백제대로점	213523.19	260620.31
55	1		95.64	경기도 김포시 장기동 2073-2	경기도 김포시 태장로 820-32, 2층 205,206호 (장기동)	동네커피	171474.52	459636.16
56	1		31.2	경기도 김포시 양촌읍 양곡리 409-3 청암주택 D동 103호	경기도 김포시 양촌읍 양곡1로 32-14, 청암주택 D동 1층 103호	일조커피카페	166840.02	461341.06
57	1		171.58	경기도 김포시 장기동 1899-12	경기도 김포시 김포한강1로97번길 10-7, 1층 (장기동)	카페동네 김포장기점	170891.14	460595.8
58	1		36.12	경상남도 창원시 마산회원구 내서읍 삼계리 507-6 102호	경상남도 창원시 마산회원구 내서읍 숲속로 20-3, 102호	크로플덕 오리아가씨 창원삼계점	336173.4	193317.02
59	1		282.94	강원도 고성군 토성면 아야진리 182	강원도 고성군 토성면 아야진해변길 137	아야트커피	335873.75	531341.7
60	1			전라남도 여수시 학동 11-9	전라남도 여수시 쌍봉로 55 (학동)	아아수혈 여수학동점	260521.34	141107.4
61	1		49.07	광주광역시 동구 서석동 91-25	광주광역시 동구 문화전당로26번길 18, 1층 (서석동)	커피마마 동구청점	192771.25	182924.1
62	1		31.44	서울특별시 동대문구 제기동 1200	서울특별시 동대문구 정릉천동로 115, 1층 4호2호 (제기동)	해방커피	203081.38	453359.4
63	1		62.5	경상남도 진주시 충무공동 31-5 마루빌딩 1층 104호	경상남도 진주시 영천강로 171, 마루빌딩 1층 104호 (충무공동)	쉬즈베이글커피 진주혁신점(SHE'S BAGEL COFFEE)	303669.56	187220.8
64	1		35.89	경기도 성남시 분당구 정자동 166-1 정자역 엠코헤리츠 2단지 1층 B117호	경기도 성남시 분당구 정자일로 140, 정자역 엠코헤리츠 2단지 1층 B117호 (정자동)	그라츠커피랩(GRAZ COFFEE LAB)	209367.73	428950.12
65	1		37.3	대전광역시 중구 문창동 30-11 1층	대전광역시 중구 문창로 121, 1층 (문창동)	커피향	238611.38	313731.22
66	1		381.66	경기도 화성시 정남면 보통리 514-1 1,2층 전부호	경기도 화성시 정남면 보통내길 140, 1,2층 전부호	투썸플레이스 보통리점	197531.06	409767.56
67	1		95.0	경기도 화성시 영천동 749-2 1	경기도 화성시 동탄치동천로2길 3-16, 1층 (영천동)	커피스미스드래프트 동탄중리점	211029.92	411317.28
68	1		33.72	서울특별시 서대문구 충정로3가 256	서울특별시 서대문구 충정로4길 6, 1~2층 (충정로3가)	램미커피(Lemme coffee)	196737.48	450979.28
69	1		93.58	대전광역시 유성구 지족동 980-8	대전광역시 유성구 지족로349번길 40-16, 지상1층 (지족동)	아이앤알커피로스터스(inr coffee roasters)	228314.02	320766.94
70	1		33.0	대구광역시 중구 대신동 1033 1층	대구광역시 중구 큰장로 98, 1층 (대신동)	오감토스트커피	342363.75	264186.8
71	1		42.9	충청남도 천안시 동남구 청당동 299-15 아이지타워	충청남도 천안시 동남구 광풍로 1822, 아이지타워 1층 106호 (청당동)	로뎀커피	212984.64	364421.94
72	1		77.52	부산광역시 금정구 장전동 229-34	부산광역시 금정구 장전온천천로113번길 2, 1층 (장전동)	매화커피	390077.94	194869.08
73	1		102.0	서울특별시 강남구 신사동 551-28	서울특별시 강남구 논현로159길 44, 지상1층 (신사동)	몰타 아일랜드 Malta Island by Dalla F&B	202108.97	446666.22
74	1		36.8	충청남도 천안시 서북구 성정동 682-1 주연테크컴퓨터	충청남도 천안시 서북구 백석로 257, 1층 102호 (성정동)	위티커피	212256.2	368601.3
75	1		98.54	충청남도 천안시 동남구 신부동 459-10	충청남도 천안시 동남구 먹거리9길 21, 2층 (신부동)	매주리레코드커피바	213863.02	368482.44
76	1		41.3	부산광역시 연제구 연산동 2135-12	부산광역시 연제구 쌍미천로 9, 1층 (연산동)	아덴블랑제리 연산배산점	390518.72	188160.42
77	1	03180396767	205.68	경기도 성남시 분당구 야탑동 355-3 금호프라자 1층102호	경기도 성남시 분당구 야탑로75번길 9, 금호프라자 1층 102호 (야탑동)	투썸플레이스 야탑NC점	211158.47	434299.25
78	1		47.99	부산광역시 해운대구 우동 1407 해운대두산위브더제니스	부산광역시 해운대구 마린시티2로 33, 104동 103호 (우동, 해운대두산위브더제니스)	스왈로우 커피	395388.72	186268.86
79	1		15.0	경상남도 양산시 덕계동 802-5 미진장여관	경상남도 양산시 웅상대로 704, 1층 (덕계동)	커피로드	394945.4	209384.56
80	1		30.41	경기도 용인시 수지구 풍덕천동 712-3 수지프라자 104호	경기도 용인시 수지구 풍덕천로 127, 수지프라자 1층 104호 (풍덕천동)	투달러커피 수지구청점	208410.86	424599.1
81	1	031 6473359	183.0	경기도 평택시 포승읍 도곡리 산 85-10	경기도 평택시 포승읍 포승향남로 258, 1층	엠엠커피(mmcoffee)		
82	1		54.44	서울특별시 종로구 누하동 17-2	서울특별시 종로구 자하문로7길 69-3, 1, 2층 (누하동)	아티클(article)	197172.2	453104.6
83	1	033 5326969	11.04	강원도 동해시 평릉동 457-8	강원도 동해시 평원1길 98, 2층 (평릉동)	아이점프 동해점	387036.75	449847.06
84	1		36.8	서울특별시 송파구 문정동 651 문정역테라타워	서울특별시 송파구 송파대로 167, 문정역테라타워 B동 1층 133호 (문정동)	커피콩포도		
85	1		37.66	대구광역시 달성군 구지면 창리 1449-5 1층	대구광역시 달성군 구지면 국가산단대로68길 12, 1층	크로플덕 오리아가씨 대구구지점	328335.0	240809.16
86	1		54.4	서울특별시 동대문구 장안동 324-11	서울특별시 동대문구 답십리로69길 45, 1층 (장안동)	브루클린커피	206454.34	452455.78
87	1	055 6333115	71.0	경상남도 거제시 상동동 1041 벽산e-솔렌스힐 1차	경상남도 거제시 상동5길 75-40, 401동 지1층 B106(일부)호 (상동동, 벽산e-솔렌스힐 1차)	커피사자	349204.9	152634.52
88	1		90.25	충청북도 음성군 금왕읍 금석리 231-43	충청북도 음성군 금왕읍 무극로 362	시티커피	253466.86	388325.9
89	1	033 553 7601	431.1	강원도 태백시 소도동 345	강원도 태백시 태백산로 4761, C동 4층 (소도동)	태백호텔 레스토랑&커피	374119.78	405208.47
90	1		20.4	부산광역시 중구 영주동 23-12	부산광역시 중구 초량중로 2, 1층 (영주동)	커피한잔	385557.5	181148.23
91	1	02  69588891	38.5	서울특별시 강남구 삼성동 112-23	서울특별시 강남구 선릉로 570, 지상1층 (삼성동)	마그마커피(MAGMA COFFEE)	203861.02	445244.7
92	1		52.59	전라북도 전주시 완산구 효자동1가 173-8 효자메디컬프라자	전라북도 전주시 완산구 백제대로 140, 1층 114호, 114-1호 (효자동1가)	앳커피 전주본점	211138.98	256151.28
93	1		63.0	인천광역시 서구 마전동 1057-6 103호	인천광역시 서구 원당대로 673, 태한빌딩 103호 (마전동)	컴포즈커피 완정사거리점	171319.3	454681.6
94	1		86.39	전라남도 나주시 빛가람동 186-1 게토333 나동 D101,D102호	전라남도 나주시 우정로 10, 게토333 나동 D101,D102호 (빛가람동)	크로스 커피(cross coffee)	179943.44	169509.05
95	1		25.0	서울특별시 광진구 구의동 60-59 지층우측	서울특별시 광진구 천호대로138길 24, 지층 (구의동)	딜리버리커피	208111.47	449535.72
96	1		363.3	서울특별시 광진구 군자동 270 2동 1~2층	서울특별시 광진구 능동로 239-1, 2동 1~2층 (군자동)	보난자 커피 군자	206673.02	449940.97
97	1		89.1	충청남도 아산시 배방읍 휴대리 9-2 1층 102호	충청남도 아산시 배방읍 휴대길 126, 1층 102호	오시우커피(OSIW COFFEE)	210501.42	363642.12
98	1		36.88	인천광역시 서구 청라동 84-7 상가3동 122호	인천광역시 서구 청라한내로 131, 상가3동 122호 (청라동)	컴포즈커피청라시티프라디움점	166986.39	448397.03
99	1		47.6	경상남도 거제시 고현동 1014-7	경상남도 거제시 중곡로3길 7, 1층 (고현동)	텐퍼센트커피 거제중곡점	348889.3	156218.25
100	1			경기도 군포시 산본동 74 수성드림빌2차 A동 1층 101호 일부호	경기도 군포시 고산로 732, A동 1층 101호 일부호 (산본동, 수성드림빌2차)	크로플덕 오리아가씨 산본금정점	194490.05	430236.75
101	1		145.41	울산광역시 남구 무거동 626-6	울산광역시 남구 옥현로39번길 2, 1층 (무거동)	콜프로스터스울산대점	404907.2	229115.98
102	1		79.05	대구광역시 북구 고성동3가 102-5	대구광역시 북구 고성북로 21-1, 1층 (고성동3가)	운터커피(untercoffee)	342880.53	265761.38
103	1		97.2	강원도 강릉시 교동 162-220	강원도 강릉시 강릉대로194번길 7, 1층 (교동)	커피벌스데이	366723.62	474493.66
104	1		35.5	전라북도 전주시 덕진구 인후동1가 924-10	전라북도 전주시 덕진구 아중로 189, 1층 일부호 (인후동1가)	커피면회소앤솔리드도넛	215268.48	258643.12
105	1			경기도 군포시 금정동 916 힐스테이트 금정역 1층 1001호	경기도 군포시 엘에스로 143, 1층 1001호 (금정동, 힐스테이트 금정역)	텐퍼센트커피 금정역에이케이점	195045.84	430029.88
106	1		51.3	서울특별시 강동구 성내동 563-4 태영빌	서울특별시 강동구 성안로3길 80, 101호 (성내동, 태영빌)	킹콩카페	211034.53	447242.6
107	1			대구광역시 중구 동성로3가 0066-0014 1층	대구광역시 중구 중앙대로 380, 1층 (동성로3가)	마실커피 동성로점	343864.9	264140.38
108	1		73.51	서울특별시 영등포구 당산동3가 454	서울특별시 영등포구 당산로27길 22-1, 1층 (당산동3가)	커피 키위(Coffee kiwi)	190565.17	447022.44
109	1		14.0	경기도 수원시 영통구 매탄동 101-42	경기도 수원시 영통구 매여울로52번길 18, 1층 (매탄동)	봉명동내커피	203976.69	418997.47
110	1	031388 1110		경기도 군포시 산본동 1026-10 금정삼성쉐르빌 1층 142호	경기도 군포시 공단로 356-54, 금정삼성쉐르빌 1층 142호 (산본동)	Whale(웨일) 커피앤보틀샵	194932.34	430214.56
111	1		53.0	충청남도 천안시 서북구 두정동 2063 e편한세상 두정3차	충청남도 천안시 서북구 북일로 21, 상가동 1층 103호 (두정동, e편한세상 두정3차)	빽다방천안두정대림포레나점	213789.47	370069.5
112	1		28.43	대구광역시 수성구 범어동 166-12 1층 A동	대구광역시 수성구 달구벌대로489길 64, A동 1층 (범어동)	도어룸나인커피(Doorroomninecoffee)	347504.72	263397.5
113	1	044 272 8279	50.54	세종특별자치시 나성동 741 새롬씨티	세종특별자치시 한누리대로 273, 새롬씨티 1층 102호 (나성동)	THE더맛있는과일&1리터커피 세종나성점	222911.92	331972.6
114	1		12.48	서울특별시 종로구 필운동 55-1	서울특별시 종로구 필운대로1길 17, 1층 (필운동)	에스알이 커피룸(sRe coffeeroom)	197142.58	452812.56
115	1	02 4862468	35.93	서울특별시 성동구 금호동4가 1553 힐스테이트 서울숲리버	서울특별시 성동구 금호로 40, 상가동 지2층 2호 (금호동4가, 힐스테이트 서울숲리버)	커스텀커피 금호점	202277.94	449393.8
116	1		46.45	충청북도 청주시 청원구 오창읍 주성리 532 101호	충청북도 청주시 청원구 오창읍 주성2길 9-5, 101호	인아커피	240569.89	359570.75
117	1		76.44	서울특별시 강남구 논현동 113-17	서울특별시 강남구 언주로134길 25, 지상2층 (논현동)	오브젝티브 커피 로스터스	203258.88	446092.47
118	1		93.29	경기도 양주시 은현면 운암리 341-3 1층일부	경기도 양주시 은현면 운하로101번길 210, 1층일부	1529,남스커피	200490.73	487165.72
119	1		36.0	경상남도 양산시 물금읍 가촌리 1297 나래센트럴파크	경상남도 양산시 물금읍 야리2길 9, 나래센트럴파크 141호	복고다방 증산점	382411.9	203117.61
120	1		53.58	경상북도 구미시 봉곡동 281-9	경상북도 구미시 봉곡남로13길 7, 1층 (봉곡동)	벤스커피	317904.0	295123.12
121	1		26.4	서울특별시 서초구 서초동 1544-12 대성빌딩 102호	서울특별시 서초구 반포대로22길 7, 대성빌딩 102호 (서초동)	제너러스커피	200801.75	442957.78
122	1		47.42	충청북도 청주시 상당구 용정동 473	충청북도 청주시 상당구 1순환로1594번길 59, 2층 (용정동)	블루베리커피	246251.83	348413.22
123	1			대구광역시 중구 봉산동 0064-0001 1층	대구광역시 중구 명륜로23길 56, 1층 (봉산동)	버미커피	344046.16	263655.5
124	1		38.22	경기도 수원시 영통구 이의동 1336 힐스테이트광교중앙역 108호	경기도 수원시 영통구 도청로18번길 26, 힐스테이트광교중앙역 1층 108호 (이의동)	그라츠커피랩 광교중앙역점	204977.17	420627.22
125	1		127.62	대구광역시 달서구 죽전동 273-27	대구광역시 달서구 달구벌대로 1551, 골든타워 12층 1201호 (죽전동)	두낫디스터브(DO NOT DISTURB) 죽전점	338717.72	262242.38
126	1		113.46	인천광역시 중구 중앙동4가 2-24 1층 일부, 2층	인천광역시 중구 신포로15번길 6, 1층 일부, 2층 (중앙동4가)	탭 커피 로스터스	166693.9	441032.62
127	1		32.59	경기도 남양주시 진접읍 금곡리 973 진접프라자 1층 102호	경기도 남양주시 진접읍 해밀예당3로 134, 진접프라자 1층 102호	뉴욕쟁이디저트 진접점	217160.6	468771.7
128	1	070 75435295	54.39	대전광역시 대덕구 비래동 134-25	대전광역시 대덕구 우암로412번길 119, 1층 (비래동)	커피하우스	240560.97	317734.88
129	1		222.29	경기도 고양시 덕양구 도내동 951-1 가림타워 오피스텔	경기도 고양시 덕양구 권율대로 504, 가림타워 오피스텔 101,102호 (도내동)	파스쿠찌 고양원흥점	188430.81	459267.22
130	1		35.21	부산광역시 영도구 남항동1가 48-3	부산광역시 영도구 절영로42번길 12 (남항동1가)	복고다방 영도남항점	385798.47	178778.52
131	1	032 566 3979	166.9	인천광역시 서구 원당동 0 정인프라자	인천광역시 서구 이음5로 62, 정인프라자 703,704호 (원당동)	브런치빈 검단점		
132	1		9.92	서울특별시 노원구 상계동 324-4 상계제일빌딩	서울특별시 노원구 노해로85길 14, 상계제일빌딩 1층 (상계동)	퍼스트커피랩 노원역점	205691.86	461525.06
133	1		70.0	서울특별시 성동구 성수동1가 656-1965 진남빌딩	서울특별시 성동구 왕십리로8길 8, 진남빌딩 2층 201호 (성수동1가)	에토프커피 성수	203962.08	449341.25
134	1		45.84	전라북도 전주시 덕진구 덕진동2가 677-8	전라북도 전주시 덕진구 가리내10길 18-4, 1층 일부호 (덕진동2가)	베리커피	209901.9	260221.83
135	1		50.0	경기도 평택시 용이동 452-1	경기도 평택시 현신3길 2, 1층 (용이동)	금커피 별빙수 평택용이점	211969.34	388230.25
136	1		228.74	서울특별시 강남구 삼성동 163-3 대웅제약빌딩	서울특별시 강남구 봉은사로114길 12, 대웅제약빌딩 별관동 지상1층 (삼성동)	투썸플레이스 대웅제약사옥점	205719.23	445808.56
137	1		54.0	서울특별시 송파구 송파동 45-11	서울특별시 송파구 백제고분로45길 5-18, 101호 (송파동)	gotta coffee(가타커피)	209646.97	445172.8
138	1		73.31	충청남도 천안시 서북구 두정동 1464 아크로텔천안두정	충청남도 천안시 서북구 성정두정로 70, 1층 135호 (두정동, 아크로텔천안두정)	욤카페두정점	212608.72	370038.88
139	1		199.03	충청북도 청주시 서원구 산남동 1220 2층	충청북도 청주시 서원구 산미로 154, 2층 (산남동)	나이스업커피	242579.52	345474.47
140	1		51.39	대구광역시 북구 태전동 964-6	대구광역시 북구 영송로 24-1, 1층 (태전동)	커피숍바이송	339325.44	270798.66
141	1			대전광역시 유성구 봉명동 536-10 노블레스타워 지상1층 101호	대전광역시 유성구 대학로 34, 지상1층 101호 (봉명동, 노블레스타워)	드림커피랩	230716.92	317346.34
142	1		53.07	경기도 부천시 중동 1301 힐스테이트 중동 202동 1층 1103호	경기도 부천시 길주로 234, 202동 1층 1103호 (중동, 힐스테이트 중동)	바빈스커피 부천힐스테이트중동점	179427.4	444580.06
143	1		13.27	경기도 부천시 중동 1141-5 다운타운 1층 101호 일부	경기도 부천시 길주로 288, 다운타운 1층 101호 일부 (중동)	커피샵 디저트	179966.75	444523.47
144	1			대구광역시 달서구 진천동 604-2	대구광역시 달서구 진천로 75-24, 주건축물제1동 1층 (진천동)	펌프커피(PUMP COFFEE)	337407.8	258225.08
145	1		33.0	강원도 양구군 양구읍 정림리 3-2	강원도 양구군 양구읍 우정로119번길 24, 101호	양구커피집	286584.3	511433.8
146	1		70.84	강원도 동해시 평릉동 448 동해해안사랑으로부영	강원도 동해시 평원로 110, 1층 105,106호 (평릉동, 동해해안사랑으로부영)	파리바게뜨동해평릉점	386778.66	449993.22
147	1		60.4	경기도 성남시 중원구 성남동 4287 지층 일부호	경기도 성남시 중원구 산성대로80번길 16, 지층 일부호 (성남동)	궁커피주	211262.17	436650.0
148	1		20.33	경기도 시흥시 대야동 501-22	경기도 시흥시 뱀내장터로25번길 4, 1층 일부호 (대야동)	로컬커피소사이어티	181134.62	437774.75
149	1		65.0	광주광역시 광산구 월곡동 554-8 1층	광주광역시 광산구 월곡중앙로42번길 28, 1층 (월곡동)	퍼플88커피	182851.45	185635.83
150	1		37.38	경기도 하남시 망월동 834	경기도 하남시 미사강변한강로 135, 미사강변 스카이폴리스 다동 1층 154호 (망월동)	테이큰커피	216846.89	452760.88
151	1		115.95	경상북도 청송군 주왕산면 상의리 743-2	경상북도 청송군 주왕산면 주왕산로 697-8, 1층	사과와커피이야기	391154.9	322398.34
152	1		53.8	서울특별시 구로구 구로동 745-62 삼성드림빌	서울특별시 구로구 구로동로12길 8, 1층 101호 (구로동, 삼성드림빌)	순옥커피호프	189815.42	442767.1
153	1		61.1	경상남도 창원시 마산합포구 서성동 1-4	경상남도 창원시 마산합포구 남성로 74, 1층 (서성동)	S.Y.커피숍	343173.06	190603.48
154	1		49.32	경기도 여주시 교동 437-1	경기도 여주시 교동2길 67, 2동 (교동)	퍼스트커피랩 여주점	255924.42	419583.5
155	1		102.3	서울특별시 용산구 용산동5가 2-29	서울특별시 용산구 한강대로38길 25, 1층 (용산동5가)	브리커피2	197269.48	447440.78
156	1	054 430 0703	47.25	경상북도 김천시 율곡동 420	경상북도 김천시 용전1로 63, 1층 101호 (율곡동)	쏘자토스트커피	306822.56	292065.7
157	1	031 9768966	52.0	경기도 고양시 일산동구 중산동 1667-6 주은프라자 107호	경기도 고양시 일산동구 고양대로 739, 주은프라자 107호 (중산동)	컴포즈커피 일산산들마을점	180396.16	464520.0
158	1		31.15	경기도 의정부시 민락동 803-1	경기도 의정부시 천보로 14, 민락 송학글래드스톤 앤 그레이스모나코 지상 1층 1029호 (민락동)	해트커피(Hatt coffee)	208700.84	471202.5
159	1		39.48	인천광역시 남동구 논현동 744-3 토브 타워 1층 110호	인천광역시 남동구 앵고개로847번길 50, 토브 타워 1층 110호 (논현동)	차차커피코 인천논현점	175626.73	432953.28
